C0,tau0,tau_eff,HRV_mod,Delta_phi,C,F_res,dphi,tau,F_cap,B,S,zone,C_min,dphi_max_rad,PLV_min,Q_c_min,notes,phi_lock_T,C_hat,theta_C,pi_gate_ok,phi_lock_ok
0.120141292209534,0.8561159420289856,0.8561159420289856,0.3,0.05,0.0360423876628602,0.6171292533392689,0.05,0.8561159420289856,0.6171292533392689,0.8983,0.1017,kohärent,,,,,,2.5683478260869568,0.0,0.62,False,True
0.120141292209534,0.8561159420289856,0.8561159420289856,0.3,0.0646464646464646,0.0360423876628602,0.4773109068795908,0.0646464646464646,0.8561159420289856,0.4773109068795908,0.8599,0.1402,kohärent,,,,,,2.5683478260869568,0.0,0.62,False,True
0.120141292209534,0.8561159420289856,0.8561159420289856,0.3,0.0792929292929292,0.0360423876628602,0.3891451979655262,0.0792929292929292,0.8561159420289856,0.3891451979655262,0.8216,0.1785,kohärent,,,,,,2.5683478260869568,0.0,0.62,False,True
0.120141292209534,0.8561159420289856,0.8561159420289856,0.3,0.0939393939393939,0.0360423876628602,0.3284720219386431,0.0939393939393939,0.8561159420289856,0.3284720219386431,0.7833,0.2168,regulativ,,,,,,2.5683478260869568,0.0,0.62,False,True
0.120141292209534,0.8561159420289856,0.8561159420289856,0.3,0.1085858585858585,0.0360423876628602,0.2841664933980819,0.1085858585858585,0.8561159420289856,0.2841664933980819,0.7449,0.2552,regulativ,,,,,,2.5683478260869568,0.0,0.62,False,True
0.120141292209534,0.8561159420289856,0.8561159420289856,0.3,0.1232323232323232,0.0360423876628602,0.2503926068876542,0.1232323232323232,0.8561159420289856,0.2503926068876542,0.7067,0.2934,regulativ,,,,,,2.5683478260869568,0.0,0.62,False,True
0.120141292209534,0.8561159420289856,0.8561159420289856,0.3,0.1378787878787878,0.0360423876628602,0.2237941248373173,0.1378787878787878,0.8561159420289856,0.2237941248373173,0.6681,0.332,regulativ,,,,,,2.5683478260869568,0.0,0.62,False,True
0.120141292209534,0.8561159420289856,0.8561159420289856,0.3,0.1525252525252525,0.0360423876628602,0.2023039605317471,0.1525252525252525,0.8561159420289856,0.2023039605317471,0.63,0.3701,regulativ,,,,,,2.5683478260869568,0.0,0.62,False,True
0.120141292209534,0.8561159420289856,0.8561159420289856,0.3,0.1671717171717171,0.0360423876628602,0.1845794443522284,0.1671717171717171,0.8561159420289856,0.1845794443522284,0.5917,0.4084,regulativ,,,,,,2.5683478260869568,0.0,0.62,False,True
0.120141292209534,0.8561159420289856,0.8561159420289856,0.3,0.1818181818181818,0.0360423876628602,0.1697105446682989,0.1818181818181818,0.8561159420289856,0.1697105446682989,0.5533,0.4468,regulativ,,,,,,2.5683478260869568,0.0,0.62,False,True
0.120141292209534,0.8561159420289856,0.8561159420289856,0.3,0.1964646464646464,0.0360423876628602,0.1570586017495825,0.1964646464646464,0.8561159420289856,0.1570586017495825,0.515,0.4851,regulativ,,,,,,2.5683478260869568,0.0,0.62,False,True
0.120141292209534,0.8561159420289856,0.8561159420289856,0.3,0.211111111111111,0.0360423876628602,0.1461621915803531,0.211111111111111,0.8561159420289856,0.1461621915803531,0.4766,0.5235,regulativ,,,,,,2.5683478260869568,0.0,0.62,False,True
0.120141292209534,0.8561159420289856,0.8561159420289856,0.3,0.2257575757575757,0.0360423876628602,0.1366796332899051,0.2257575757575757,0.8561159420289856,0.1366796332899051,0.4386,0.5615,regulativ,,,,,,2.5683478260869568,0.0,0.62,False,True
0.120141292209534,0.8561159420289856,0.8561159420289856,0.3,0.2404040404040404,0.0360423876628602,0.1283525127743437,0.2404040404040404,0.8561159420289856,0.1283525127743437,0.4027,0.5974,regulativ,,,,,,2.5683478260869568,0.0,0.62,False,True
0.120141292209534,0.8561159420289856,0.8561159420289856,0.3,0.255050505050505,0.0360423876628602,0.1209817744170052,0.255050505050505,0.8561159420289856,0.1209817744170052,0.3741,0.626,regulativ,,,,,,2.5683478260869568,0.0,0.62,False,True
0.120141292209534,0.8561159420289856,0.8561159420289856,0.3,0.2696969696969696,0.0360423876628602,0.1144116031471678,0.2696969696969696,0.8561159420289856,0.1144116031471678,0.3429,0.6572,regulativ,,,,,,2.5683478260869568,0.0,0.62,False,True
0.120141292209534,0.8561159420289856,0.8561159420289856,0.3,0.2843434343434343,0.0360423876628602,0.108518287887367,0.2843434343434343,0.8561159420289856,0.108518287887367,0.3175,0.6826,regulativ,,,,,,2.5683478260869568,0.0,0.62,False,True
0.120141292209534,0.8561159420289856,0.8561159420289856,0.3,0.298989898989899,0.0360423876628602,0.1032023582442358,0.298989898989899,0.8561159420289856,0.1032023582442358,0.2953,0.7048,regulativ,,,,,,2.5683478260869568,0.0,0.62,False,True
0.120141292209534,0.8561159420289856,0.8561159420289856,0.3,0.3136363636363636,0.0360423876628602,0.0983829244453907,0.3136363636363636,0.8561159420289856,0.0983829244453907,0.2752,0.7249,regulativ,,,,,,2.5683478260869568,0.0,0.62,False,True
0.120141292209534,0.8561159420289856,0.8561159420289856,0.3,0.3282828282828282,0.0360423876628602,0.0939935324316732,0.3282828282828282,0.8561159420289856,0.0939935324316732,0.2567,0.7434,regulativ,,,,,,2.5683478260869568,0.0,0.62,False,True
0.120141292209534,0.8561159420289856,0.8561159420289856,0.3,0.3429292929292929,0.0360423876628602,0.0899790811201585,0.3429292929292929,0.8561159420289856,0.0899790811201585,0.2397,0.7604,regulativ,,,,,,2.5683478260869568,0.0,0.62,False,True
0.120141292209534,0.8561159420289856,0.8561159420289856,0.3,0.3575757575757575,0.0360423876628602,0.0862934972889655,0.3575757575757575,0.8561159420289856,0.0862934972889655,0.2246,0.7755,regulativ,,,,,,2.5683478260869568,0.0,0.62,False,True
0.120141292209534,0.8561159420289856,0.8561159420289856,0.3,0.3722222222222222,0.0360423876628602,0.0828979594037824,0.3722222222222222,0.8561159420289856,0.0828979594037824,0.2102,0.7899,regulativ,,,,,,2.5683478260869568,0.0,0.62,False,True
0.120141292209534,0.8561159420289856,0.8561159420289856,0.3,0.3868686868686868,0.0360423876628602,0.0797595249093833,0.3868686868686868,0.8561159420289856,0.0797595249093833,0.1973,0.8028,fragmentiert,,,,,,2.5683478260869568,0.0,0.62,False,True
0.120141292209534,0.8561159420289856,0.8561159420289856,0.3,0.4015151515151515,0.0360423876628602,0.0768500579630033,0.4015151515151515,0.8561159420289856,0.0768500579630033,0.1855,0.8146,fragmentiert,,,,,,2.5683478260869568,0.0,0.62,False,True
0.120141292209534,0.8561159420289856,0.8561159420289856,0.3,0.4161616161616161,0.0360423876628602,0.0741453835929461,0.4161616161616161,0.8561159420289856,0.0741453835929461,0.1743,0.8258,fragmentiert,,,,,,2.5683478260869568,0.0,0.62,False,True
0.120141292209534,0.8561159420289856,0.8561159420289856,0.3,0.4308080808080807,0.0360423876628602,0.0716246143969374,0.4308080808080807,0.8561159420289856,0.0716246143969374,0.1642,0.8359,fragmentiert,,,,,,2.5683478260869568,0.0,0.62,False,True
0.120141292209534,0.8561159420289856,0.8561159420289856,0.3,0.4454545454545454,0.0360423876628602,0.0692696100686934,0.4454545454545454,0.8561159420289856,0.0692696100686934,0.1547,0.8454,fragmentiert,,,,,,2.5683478260869568,0.0,0.62,False,True
